Company,Buy,Sell,Initial Captial,Networth,Gains,Investment %,Inventory (bought),Inventory (sell)
TSLA,133,133,10000,11404.106084823608,1404.1060848236084,14.041060848236084,0.0,0.0
MSFT,122,122,10000,10095.34016418457,95.34016418457031,0.9534016418457031,0.0,0.0
AMZN,138,136,10000,10185.688949584961,185.68894958496094,1.8568894958496094,350.3889923095703,337.28900146484375
AAPL,119,119,10000,10002.122444152832,2.1224441528320312,0.02122444152832031,0.0,0.0
GOOG,123,123,10000,10103.486473083496,103.4864730834961,1.0348647308349608,0.0,0.0
FB,74,67,10000,9144.82991027832,-855.1700897216797,-8.551700897216797,1179.6600036621094,940.7999572753906
AMD,114,114,10000,10143.310012817383,143.3100128173828,1.433100128173828,0.0,0.0
ADSK,130,130,10000,10384.38996887207,384.3899688720703,3.843899688720703,0.0,0.0
BLK,131,128,10000,11694.409942626953,1694.4099426269531,16.94409942626953,2715.1199951171875,2741.280029296875
HPQ,128,128,10000,10122.529982566833,122.5299825668335,1.225299825668335,0.0,0.0
IBM,131,131,10000,10017.902946472168,17.90294647216797,0.1790294647216797,0.0,0.0
JPM,119,119,10000,9941.879997253418,-58.12000274658203,-0.5812000274658202,0.0,0.0
META,141,141,10000,11247.419815063477,1247.4198150634766,12.474198150634766,0.0,0.0
MU,134,134,10000,9947.699989318848,-52.300010681152344,-0.5230001068115234,0.0,0.0
NVDA,125,125,10000,10569.855033874512,569.8550338745117,5.698550338745117,0.0,0.0
PYPL,129,129,10000,10329.419944763184,329.4199447631836,3.2941994476318364,0.0,0.0
TWTR,118,118,10000,10164.199993133545,164.19999313354492,1.6419999313354492,0.0,0.0
USB,131,131,10000,9969.410009384155,-30.589990615844727,-0.30589990615844725,0.0,0.0
V,121,121,10000,10119.689956665039,119.68995666503906,1.1968995666503905,0.0,0.0
